index,value
1,1.7957
2,1.529
3,0.96315
4,0.73505
5,0.72325
6,0.71204
7,0.67657
8,1.2094
9,1.7707
10,1.9902
11,2.0759
12,2.0734
13,1.958
14,1.2614
15,0.77585
16,0.54448
17,0.44882
18,0.42262
19,0.71512
20,1.4689
21,1.8207
22,1.7554
23,1.6196
24,1.7523
25,1.6148
26,1.0153
27,0.73896
28,0.71817
29,0.72539
30,0.65502
31,1.1162
32,1.7238
33,1.9721
34,2.0692
35,2.0714
36,2.0162
37,1.346
38,0.81825
39,0.56366
40,0.45595
41,0.41974
42,0.64272
43,1.382
44,1.8044
45,1.7887
46,1.6387
47,1.7094
48,1.6934
49,1.0754
50,0.74942
51,0.70461
52,0.73045
53,0.64261
54,1.0256
55,1.6697
56,1.9497
57,2.0588
58,2.0695
59,2.0552
60,1.4361
61,0.8698
62,0.58479
63,0.46427
64,0.42038
65,0.5813
66,1.2859
67,1.7776
68,1.7731
69,1.6426
70,1.6657
71,1.7597
72,1.1413
73,0.78616
74,0.71599
75,0.74696
76,0.64704
77,0.9434
78,1.6049
79,1.9494
80,2.0648
81,2.0819
82,2.0807
83,1.5316
84,0.92042
85,0.60094
86,0.46684
87,0.41896
88,0.52905
89,1.1835
90,1.7451
91,1.771
92,1.6421
93,1.6238
94,1.8072
95,1.2119
96,0.81967
97,0.73042
98,0.76544
99,0.66407
100,0.87252
101,1.5352
102,1.9087
103,2.0472
104,2.0878
105,2.094
106,1.6267
107,0.98245
108,0.62979
109,0.47811
110,0.42125
111,0.48925
112,1.0784
113,1.7098
114,1.7851
115,1.6583
116,1.5999
117,1.8346
118,1.2888
119,0.84853
120,0.72564
121,0.76343
122,0.67853
123,0.80703
124,1.459
125,1.8805
126,2.0365
127,2.0887
128,2.0933
129,1.7215
130,1.0465
131,0.66295
132,0.49305
133,0.42758
134,0.46061
135,0.97576
136,1.6637
137,1.8025
138,1.682
139,1.5933
140,1.8399
141,1.3703
142,0.88193
143,0.71909
144,0.75203
145,0.69118
146,0.7507
147,1.3765
148,1.8456
149,2.024
150,2.086
151,2.0863
152,1.813
153,1.1167
154,0.70109
155,0.50992
156,0.43356
157,0.44025
158,0.87717
159,1.6062
160,1.8103
161,1.7028
162,1.5932
163,1.821
164,1.4549
165,0.9231
166,0.73003
167,0.74584
168,0.70842
169,0.70828
170,1.2891
171,1.8084
172,2.0095
173,2.084
174,2.0821
175,1.896
176,1.1914
177,0.73854
178,0.52568
179,0.43799
180,0.42638
181,0.78592
182,1.5376
183,1.8106
184,1.7183
185,1.5951
186,1.783
187,1.5393
188,0.97018
189,0.73876
190,0.72676
191,0.72237
192,0.6779
193,1.199
194,1.7652
195,1.9893
196,2.0774
197,2.0775
198,1.9666
199,1.2714
200,0.77889
201,0.54472
202,0.44809
203,0.42067
204,0.70516
205,1.4588
206,1.8084
207,1.7415
208,1.6118
209,1.742
210,1.6234
211,1.0233
212,0.75119
213,0.72415
214,0.73415
215,0.65741
216,1.107
217,1.7161
218,1.988
219,2.0752
220,2.0771
221,2.0232
222,1.3579
223,0.82116
224,0.55821
225,0.45128
226,0.4164
227,0.63279
228,1.3706
229,1.7968
230,1.7662
231,1.624
232,1.6944
233,1.6995
234,1.0832
235,0.76237
236,0.71893
237,0.74621
238,0.65041
239,1.0193
240,1.6623
241,1.9572
242,2.0638
243,2.078
244,2.0607
245,1.4466
246,0.87302
247,0.58367
248,0.46151
249,0.41795
250,0.57413
251,1.2751
252,1.7719
253,1.7658
254,1.6349
255,1.6557
256,1.7639
257,1.1481
258,0.79398
259,0.72528
260,0.75667
261,0.65302
262,0.93824
263,1.5981
