index ,value
1,3
2,4
3,6
4,7
5,11
6,13
7,16
8,16
9,13
10,10
11,5
12,2
13,0
14,4
15,6
16,9
17,11
18,14
19,15
20,16
21,13
22,10
23,6
24,5
25,5
26,5
27,6
28,8
29,11
30,14
31,15
32,15
33,13
34,11
35,8
36,6
37,5
38,6
39,6
40,8
41,11
42,15
43,15
44,15
45,13
46,11
47,6
48,3
49,1
50,1
51,5
52,7
53,10
54,14
55,15
56,15
57,13
58,10
59,7
60,5
61,4
62,5
63,5
64,8
65,11
66,15
67,16
68,16
69,13
70,9
71,6
72,4
73,1
74,1
75,5
76,7
77,10
78,14
79,16
80,15
81,13
82,9
83,6
84,2
85,4
86,5
87,6
88,8
89,11
90,15
91,18
92,17
93,14
94,11
95,6
96,3
97,0
98,4
99,2
100,7
101,10
102,15
103,17
104,16
105,13
106,9
107,6
108,3
109,5
110,5
111,5
112,8
113,10
114,14
115,16
116,16
117,14
118,10
119,6
120,5
121,1
122,4
123,5
124,7
125,11
126,15
127,17
128,16
129,14
130,10
131,6
132,2
133,3
134,1
135,5
136,8
137,11
138,14
139,16
140,16
141,14
142,10
143,6
144,3
145,4
146,3.5
147,5
148,7.5
149,11.5
150,13.5
151,16
152,15.5
153,13.5
154,8.5
155,6
156,4
157,1.5
158,1.5
159,5
160,7
161,12
162,16
163,15
164,14
165,11
166,11.5
167,6.5
168,4.5
169,5
170,1.5
171,5.5
172,7
173,11
174,14.5
175,15.5
176,15.5
177,11.5
178,7.5
179,5
180,0.5
181,5
182,2
183,1
184,7.5
185,11
186,13.5
187,14
188,13.5
189,10.5
190,9
191,6.5
192,3.5
193,3
194,2
195,3
196,7
197,10.5
198,11.5
199,15
200,14.5
201,10.5
202,8
203,4.5
204,4.5
205,5.5
206,5
207,5
208,7.5
209,10.5
210,18
211,16
212,16.5
213,12
214,7
215,3.5
216,-0.5
217,3
218,3.5
219,7
220,7.5
221,10
222,13
223,18
224,15
225,13
226,8.5
227,4.5
228,2
229,1.5
230,2
231,4
232,6.5
233,11
234,14.5
235,16.5
236,15
237,15
238,8.5
239,6
240,0.5
241,1
242,1.5
243,4.5
244,7
245,12
246,15.5
247,16
248,17
249,13
250,11
251,3.5
252,2.5
253,3.5
254,3.5
255,6
256,6.5
257,10.5
258,13
259,16
260,15
261,14.5
262,10.5
263,6.5
264,1
265,0.5
266,1.5
267,4
268,8
269,10.5
